locality,Jobs,cutoff,X,T_freq,L_freq
BUSBY,2295.98498233216,15,1,0.0,1.0
MILLER,3283.44385121908,15,1,0.0,1.0
CASULA,1112.60366429516,15,1,0.0,1.0
CARTWRIGHT,5051.21357432682,15,1,0.0,1.0
HECKENBERG,1464.03841269841,15,1,0.0,1.0
SADLEIR,1830.28248932276,15,1,0.0,1.0
LURNEA,2758.20484436651,15,1,0.0,1.0
ASHCROFT,1236.016358273,15,1,0.0,1.0
LIVERPOOL,13408.9180247194,15,1,0.0,1.0
MOOREBANK,1579.99492157104,15,1,0.0,1.0
WARWICK FARM,11036.2548048346,15,1,0.0,1.0
WATTLE GROVE,777.5886426592799,15,1,0.0,1.0
CHIPPING NORTON,1782.1044469783399,15,1,0.0,1.0
HOLSWORTHY,1227.71644983069,15,1,0.0,1.0
HAMMONDVILLE,1756.19961333978,15,1,0.0,1.0
MOUNT PRITCHARD,998.9365942028991,15,1,0.0,1.0
PRESTONS,1119.42131637996,15,1,0.0,1.0
VOYAGER POINT,191.905311778291,15,1,0.0,1.0
PLEASURE POINT,145.23381294964,15,1,0.0,1.0
WEST HOXTON,1480.83957219251,15,1,0.0,1.0
CECIL HILLS,701.898253606682,15,1,0.0,1.0
HOXTON PARK,2327.93671139595,15,1,0.0,1.0
HINCHINBROOK,1445.61514860978,15,1,0.0,1.0
GREEN VALLEY,1708.42089552239,15,1,0.0,1.0
HORNINGSEA PARK,1472.83783783784,15,1,0.0,1.0
MIDDLETON GRANGE,1243.64974182444,15,1,0.0,1.0
DENHAM COURT,140.513755274262,15,1,0.0,1.0
EDMONDSON PARK,617.055694640978,15,1,0.0,1.0
LUDDENHAM,2351.53286713287,15,1,0.0,1.0
CARNES HILL,2125.8679001721202,15,1,0.0,1.0
ELIZABETH HILLS,593.642264695276,15,1,0.0,1.0
CECIL PARK,323.0,15,1,0.0,1.0
LEN WATERS ESTATE,,15,1,0.0,1.0
LEPPINGTON,136.547309833024,15,1,0.0,1.0
BRINGELLY,2177.5513667021696,15,1,0.0,1.0
GREENDALE,108.083333333333,15,1,0.0,1.0
BADGERYS CREEK,2816.86013986014,15,1,0.0,1.0
KEMPS CREEK,3975.0216906547703,15,1,0.0,1.0
WALLACIA,15.918584070796499,15,1,0.0,1.0
AUSTRAL,9726.98200602798,15,1,0.0,1.0
ROSSMORE,,15,1,0.0,1.0
SILVERDALE,0.206896551724138,15,1,0.0,1.0
BUSBY,29137.723939929303,30,1,0.0,1.0
