shape_id,shape_length,stops,traveltime_min
10th-ASTH-CSLA,23614.993102246426,13,41.0
10th-CSLA-ASTH,23439.123459631974,13,41.0
15th-AERO-LVPL,22601.72469594879,13,40.0
15th-LVPL-AERO,22648.60943429658,13,40.0
20th-AERO-LVPL,24978.448547077685,14,44.0
20th-LVPL-AERO,25025.326408411747,14,44.0
25th-BPRK-CBMT,24292.601910734156,15,43.0
25th-CBMT-BPRK,24396.398357831968,15,43.0
AERO-MG,13503.547624499332,10,25.0
Austral-NE-E,27925.039280666904,22,51.0
Austral-NE-N,25938.522698168686,18,47.0
Austral-NE-S,9574.056108453888,12,19.0
Austral-NE-W,21473.809157127005,18,40.0
Austral-NW-E,31031.117384175497,24,57.0
Austral-NW-N,22850.636644974053,18,42.0
Austral-NW-S,15643.834511955924,12,29.0
Austral-NW-W,18367.62233288781,16,34.0
Austral-SE-E,27990.98316997641,24,52.0
Austral-SE-N,29995.11693096067,20,54.0
Austral-SE-S,7959.974549791275,10,16.0
Austral-SE-W,25228.76975946437,16,45.0
Austral-SW-E,32189.98965977937,26,59.0
Austral-SW-N,30864.42504280605,20,55.0
Austral-SW-S,8564.469066608039,10,17.0
Austral-SW-W,19567.198291512264,14,35.0
B-AERO-BPRK,5656.913346357486,3,10.0
B-BPRK-AERO,5656.917941120701,3,10.0
C-STCK-STMR,21313.37689331422,16,39.0
C-STMR-STCK,21291.5972380924,16,39.0
D-MTDT-RSMR,23569.09061639541,18,43.0
D-RSMR-MTDT,23636.690176148237,18,43.0
E-BPRK-LPTN,15444.629672647783,8,27.0
E-LPTN-BPRK,15363.265959192506,8,27.0
KempsCreek-NE-E,38322.03058559035,30,70.0
KempsCreek-NE-N,35902.6692318331,34,68.0
KempsCreek-NE-S,16012.812015734844,16,30.0
KempsCreek-NE-W,14797.824459893138,14,28.0
KempsCreek-NW-E,41145.933473722034,32,75.0
KempsCreek-NW-N,29626.076437458047,30,56.0
KempsCreek-NW-S,17688.47269007673,16,33.0
KempsCreek-NW-W,11690.651172546732,12,22.0
KempsCreek-SE-E,38010.05131748927,26,68.0
KempsCreek-SE-N,39749.04810217957,36,74.0
KempsCreek-SE-S,14533.472026550184,14,27.0
KempsCreek-SE-W,18780.480460335148,16,35.0
KempsCreek-SW-E,40987.499075314285,28,74.0
KempsCreek-SW-N,33876.800064804054,32,64.0
KempsCreek-SW-S,16352.447664883915,14,30.0
KempsCreek-SW-W,16177.072681028383,14,30.0
MG-AERO,13527.464658002249,10,25.0
Rossmore-NE-E,34381.346405599215,26,63.0
Rossmore-NE-N,40874.303531567384,38,77.0
Rossmore-NE-S,11036.896629516212,12,21.0
Rossmore-NE-W,15015.764332327382,14,28.0
Rossmore-NW-E,37621.799334519696,28,68.0
Rossmore-NW-N,35913.43296869628,34,68.0
Rossmore-NW-S,11396.620432193218,12,22.0
Rossmore-NW-W,11774.922372230052,12,22.0
Rossmore-SE-E,39331.991335681945,28,71.0
Rossmore-SE-N,45309.18200711522,40,84.0
Rossmore-SE-S,9550.2178192665,10,18.0
Rossmore-SE-W,15189.272353820665,12,28.0
Rossmore-SW-E,41136.581151121325,30,75.0
Rossmore-SW-N,39255.846695777735,36,74.0
Rossmore-SW-S,9604.47658490606,10,18.0
Rossmore-SW-W,11163.102389403391,10,21.0
