shape_id,shape_length,stops,traveltime_min
10th-ASTH-CSLA,21749.529528956813,13,38.0
10th-CSLA-ASTH,21573.657944876544,13,38.0
15th-AERO-LVPL,22601.72469594879,13,40.0
15th-LVPL-AERO,22648.60943429658,13,40.0
20th-AERO-LVPL,25092.714004219728,14,44.0
20th-LVPL-AERO,25139.59189114393,14,44.0
25th-BPRK-CBMT,24292.601910734058,15,43.0
25th-CBMT-BPRK,24396.398357831924,15,43.0
AERO-MG,13503.547624499332,10,25.0
Austral-NE-E,27925.039280666904,22,51.0
Austral-NE-N,26167.112563583418,18,47.0
Austral-NE-S,9574.0523891887,12,19.0
Austral-NE-W,21473.809157127005,18,40.0
Austral-NW-E,31031.117384175497,24,57.0
Austral-NW-N,23079.226168492012,18,42.0
Austral-NW-S,12582.7566969132,12,24.0
Austral-NW-W,18367.62233288781,16,34.0
Austral-SE-E,26983.95488559083,24,50.0
Austral-SE-N,29015.552587191167,20,52.0
Austral-SE-S,6734.194709749139,10,14.0
Austral-SE-W,20222.021739874428,16,37.0
Austral-SW-E,29938.749307400543,26,56.0
Austral-SW-N,26126.333483871254,20,48.0
Austral-SW-S,9533.224114342553,10,18.0
Austral-SW-W,17270.210576748825,14,32.0
B-AERO-BPRK,5656.913346357486,3,10.0
B-BPRK-AERO,5656.917941120701,3,10.0
C-STCK-STMR,20687.78683922692,16,38.0
C-STMR-STCK,20665.998663251397,16,38.0
D-MTDT-RSMR,23564.392664175863,18,43.0
D-RSMR-MTDT,23631.992223887417,18,43.0
E-BPRK-LPTN,15558.915304464826,8,27.0
E-LPTN-BPRK,15477.558861393127,8,27.0
KempsCreek-NE-E,38322.03058559035,30,70.0
KempsCreek-NE-N,35902.6692318331,34,68.0
KempsCreek-NE-S,16003.416211364003,16,30.0
KempsCreek-NE-W,14797.824459893138,14,28.0
KempsCreek-NW-E,41145.933473722034,32,75.0
KempsCreek-NW-N,29626.076437458836,30,56.0
KempsCreek-NW-S,16437.275480274664,16,31.0
KempsCreek-NW-W,11690.651172546732,12,22.0
KempsCreek-SE-E,36873.753476186896,26,67.0
KempsCreek-SE-N,38351.513624558975,36,72.0
KempsCreek-SE-S,13527.71392053304,14,26.0
KempsCreek-SE-W,17551.525562273182,16,33.0
KempsCreek-SW-E,40095.02549752488,28,72.0
KempsCreek-SW-N,32102.48519889397,32,61.0
KempsCreek-SW-S,13954.700680062273,14,27.0
KempsCreek-SW-W,14284.480741817519,14,27.0
MG-AERO,13527.464658002249,10,25.0
Rossmore-NE-E,34381.346405599215,26,63.0
Rossmore-NE-N,40866.03009967919,38,77.0
Rossmore-NE-S,11035.774256874714,12,21.0
Rossmore-NE-W,15015.764332327382,14,28.0
Rossmore-NW-E,37621.799334519696,28,68.0
Rossmore-NW-N,34637.6486246644,34,66.0
Rossmore-NW-S,11421.229440743,12,22.0
Rossmore-NW-W,11774.922372230052,12,22.0
Rossmore-SE-E,33397.319802742415,28,62.0
Rossmore-SE-N,43724.21741132521,40,82.0
Rossmore-SE-S,8179.442608643748,10,16.0
Rossmore-SE-W,13806.694361319029,12,26.0
Rossmore-SW-E,36499.47284249996,30,67.0
Rossmore-SW-N,37522.31398901584,36,71.0
Rossmore-SW-S,8525.402362600415,10,17.0
Rossmore-SW-W,10691.022533009638,10,20.0
