shape_id,shape_length,stops,traveltime_min
10th-ASTH-CSLA,23614.993102246426,13,41.0
10th-CSLA-ASTH,23439.123459631974,13,41.0
15th-AERO-LVPL,22621.43792912105,13,40.0
15th-LVPL-AERO,22668.325807747242,13,40.0
20th-AERO-LVPL,24937.78540983233,14,44.0
20th-LVPL-AERO,24984.659484958764,14,44.0
25th-BPRK-CBMT,24714.49543283875,15,44.0
25th-CBMT-BPRK,24818.29187993669,15,44.0
AERO-MG,13523.260857671597,10,25.0
Austral-NE-E,27925.039280666904,22,51.0
Austral-NE-N,25938.80626397056,18,47.0
Austral-NE-S,9574.056108453888,12,19.0
Austral-NE-W,21513.241925387392,18,40.0
Austral-NW-E,33769.63264241095,24,61.0
Austral-NW-N,25999.174168357113,18,47.0
Austral-NW-S,16373.151519846277,12,30.0
Austral-NW-W,22257.800870973686,16,40.0
Austral-SE-E,27990.98316997641,24,52.0
Austral-SE-N,29995.400496762544,20,54.0
Austral-SE-S,7959.974549791275,10,16.0
Austral-SE-W,25228.76975946437,16,45.0
Austral-SW-E,32189.98965977937,26,59.0
Austral-SW-N,30774.0810538231,20,55.0
Austral-SW-S,8564.469066608039,10,17.0
Austral-SW-W,19567.198291512264,14,35.0
B-AERO-BPRK,5656.913346357486,3,10.0
B-BPRK-AERO,5656.917941120701,3,10.0
C-STCK-STMR,21374.04035461828,16,39.0
C-STMR-STCK,21352.26073537236,16,39.0
D-MTDT-RSMR,23569.09061639541,18,43.0
D-RSMR-MTDT,23636.690176148237,18,43.0
E-BPRK-LPTN,15444.771484233566,8,27.0
E-LPTN-BPRK,15363.407713408596,8,27.0
KempsCreek-NE-E,38322.03058559035,30,70.0
KempsCreek-NE-N,35902.6692318331,34,68.0
KempsCreek-NE-S,16012.812015734844,16,30.0
KempsCreek-NE-W,15641.611503973889,14,29.0
KempsCreek-NW-E,42574.96934699953,32,77.0
KempsCreek-NW-N,32048.720165923456,30,60.0
KempsCreek-NW-S,19081.715631526782,16,35.0
KempsCreek-NW-W,13136.477678994628,12,25.0
KempsCreek-SE-E,37928.758172989095,26,68.0
KempsCreek-SE-N,39749.04810217957,36,74.0
KempsCreek-SE-S,14533.472026550184,14,27.0
KempsCreek-SE-W,18780.480460335148,16,35.0
KempsCreek-SW-E,40906.212219386136,28,74.0
KempsCreek-SW-N,34007.74175500552,32,64.0
KempsCreek-SW-S,16342.930626459549,14,30.0
KempsCreek-SW-W,16177.072681028383,14,30.0
MG-AERO,13547.181031452908,10,25.0
Rossmore-NE-E,34381.341695723786,26,63.0
Rossmore-NE-N,40874.303531567384,38,77.0
Rossmore-NE-S,11036.896629516212,12,21.0
Rossmore-NE-W,15055.197100494575,14,28.0
Rossmore-NW-E,38596.85228874847,28,70.0
Rossmore-NW-N,36908.331707524216,34,69.0
Rossmore-NW-S,12431.644430599517,12,24.0
Rossmore-NW-W,12383.05106446563,12,23.0
Rossmore-SE-E,39331.991335681945,28,71.0
Rossmore-SE-N,45309.18200711522,40,84.0
Rossmore-SE-S,9550.2178192665,10,18.0
Rossmore-SE-W,15189.272353820665,12,28.0
Rossmore-SW-E,41136.581151121325,30,75.0
Rossmore-SW-N,39377.21711883791,36,74.0
Rossmore-SW-S,9604.47658490606,10,18.0
Rossmore-SW-W,11163.102389403391,10,21.0
